,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Individual Components:,,,,,,,,,
,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,,,,
,,C1,47uF,Device:C_Polarized_Small,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,,,,
,,C2,47uF,Device:C_Polarized_Small,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,,,,
,,C3,0.1uF,Device:C_Small,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,,,,
,,C4,470uF,Device:C_Polarized_Small,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,,,,
,,C5,47uF,Device:C_Polarized_Small,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,,,,
,,C6,0.1uF,Device:C_Small,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,,,,
,,C7,0.1uF,Device:C_Small,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,,,,
,,C8,0.1uF,Device:C_Small,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,,,,
,,C9,0.1uF,Device:C_Small,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,,,,
,,C10,470uF,Device:C_Polarized_Small,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,,,,
,,C11,0.1uF,Device:C_Small,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,,,,
,,C12,0.1uF,Device:C_Small,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,,,,
,,C13,1uF,Device:C_Small,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,,,,
,,C14,0.1uF,Device:C_Small,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,,,,
,,C15,0.1uF,Device:C_Small,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,,,,
,,C16,0.1uF,Device:C_Small,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,,,,
,,C17,47uF,Device:C_Polarized_Small,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,,,,
,,D1,1N4007,Diode:1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,,,,
,,D2,1N4007,Diode:1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,,,,
,,D3,1N4007,Diode:1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,,,,
,,D5,LED,Device:LED,LED_THT:LED_D2.0mm_W4.0mm_H2.8mm_FlatTop,,,,
,,D6,LED,Device:LED,LED_THT:LED_D2.0mm_W4.0mm_H2.8mm_FlatTop,,,,
,,D7,LED,Device:LED,LED_THT:LED_D2.0mm_W4.0mm_H2.8mm_FlatTop,,,,
,,D9,BAT42,Diode:BAT42,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,,,,
,,D10,BAT42,Diode:BAT42,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,,,,
,,F1,Fuse Keystone 3568,Device:Fuse,Fuse:Fuseholder_Blade_Mini_Keystone_3568,,,,
,,J1,Wuerth_7499010121A,RJ45_wuerth_7499010121a:Wuerth_7499010121A,Connector_RJ:RJ45_Wuerth_7499010121A_Horizontal,,,,
,,J2,Screw_Terminal_01x04,Connector:Screw_Terminal_01x04,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",,,,
,,J3,B Micro USB,Connector:USB_B_Micro,AA_Foots:USB_Mini_B_AdamTech_musb_b5_s_vt_02_TH,,,,
,,J4,Chassis,Connector:Screw_Terminal_01x01,Connector_Pin:Pin_D1.3mm_L11.3mm_W2.8mm_Flat,,,,
,,J5,+5v In Gnd,Connector:Conn_01x03_Male,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,,
,,J6,Rx2 Tx2 Gnd,Connector:Conn_01x03_Male,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,,
