Collated Components:,,,,,,,,,
,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,,,
1,1,C1,470uF,Device:C_Polarized_Small,Capacitor_THT:CP_Radial_D8.0mm_P5.00mm,~,,,
2,1,C3,220uF,Device:C_Polarized_Small,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,~,,,
3,6,"C9, C11, C12, C14, C15, C16",0.1uF,Device:C_Small,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,~,,,
4,1,C10,1uF,Device:C_Polarized_Small,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,~,,,
5,1,C13,1uF,Device:C_Small,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,~,,,
6,3,"D5, D6, D7",LED,Device:LED,LED_THT:LED_D2.0mm_W4.0mm_H2.8mm_FlatTop,~,,,
7,2,"D9, D10",BAT42,Diode:BAT42,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,http://www.vishay.com/docs/85660/bat42.pdf,,,
8,1,J1,RJ45_Abracon_ARJP11A-MASA-B-A-EMU2,Connector:RJ45_Abracon_ARJP11A-MASA-B-A-EMU2,Connector_RJ:RJ45_Abracon_ARJP11A-MA_Horizontal,https://abracon.com/Magnetics/lan/ARJP11A.PDF,,,
9,1,J3,B Micro USB,Connector:USB_B_Micro,AA_Foots:USB_Mini_B_AdamTech_musb_b5_s_vt_02_TH,~,,,
10,1,J4,Chassis,Connector:Screw_Terminal_01x01,Connector_Pin:Pin_D1.3mm_L11.3mm_W2.8mm_Flat,~,,,
11,1,J6,Rx2 Tx2 Gnd,Connector:Conn_01x03_Male,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,,,
12,3,"R2, R3, R9",1k,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
13,1,R5,1k,Device:R,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,~,,,
14,1,R7,470,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
15,1,R8,10k,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
16,1,R11,2k,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
17,1,RV1,1k,Device:R_Potentiometer_US,Potentiometer_THT:Potentiometer_Bourns_3296Y_Vertical,~,,,
18,1,U1,3.3V Reg,Converter_DCDC:OKI-78SR-3.3_1.5-W36-C,Converter_DCDC:Converter_DCDC_Murata_OKI-78SR_Vertical,https://power.murata.com/data/power/oki-78sr.pdf,,,
19,1,U3,Teensy 4.1,teensy4.1_nohost_bgt:teensy4.1_NoHost_BGT,AA_Foots:Teensy41_BGT,,,,
20,1,U4,Ada BNO085,BNO085_4754:4754,AA_Foots:BNO085_Adafruit_4754,,,,
21,1,U6,F9P Micro Right,AS-RTK2B-MICRO-F9P-L1L2SMATH-00:AS-RTK2B-MICRO-F9P-L1L2SMATH-00,AA_Foots:MODULE_AS-RTK2B-MICRO-F9P-L1L2SMATH-00,,,,
22,1,U7,MCP6002-xP,Amplifier_Operational:MCP6002-xP,Package_DIP:DIP-8_W7.62mm,http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf,,,
